sony,1066,0.332294264,33.22942643
phone,979,0.305174564,30.51745636
xperia,355,0.110660848,11.06608479
selfie,92,0.028678304,2.867830424
mobile,75,0.023379052,2.337905237
twitter,67,0.020885287,2.088528678
ericsson,65,0.020261845,2.026184539
android,62,0.019326683,1.932668329
camera,56,0.017456359,1.74563591
samsung,53,0.016521197,1.652119701
iphone,46,0.014339152,1.433915212
windows,42,0.013092269,1.309226933
smart,36,0.011221945,1.122194514
screen,22,0.006857855,0.685785536
flash,22,0.006857855,0.685785536
time,22,0.006857855,0.685785536
video,20,0.006234414,0.623441397
galaxy,20,0.006234414,0.623441397
htc,20,0.006234414,0.623441397
tech,18,0.005610973,0.561097257
photos,17,0.005299252,0.529925187
nokia,16,0.004987531,0.498753117
youtube,13,0.004052369,0.405236908
waterproof,12,0.003740648,0.374064838
app,12,0.003740648,0.374064838
,3208,,
