nokia,1092,0.420161601,42.01616006
lumia,393,0.151212005,15.12120046
microsoft,194,0.074644094,7.464409388
phone,202,0.077722201,7.772220085
windows,96,0.036937284,3.693728357
twitter,94,0.036167757,3.616775683
android,78,0.030011543,3.00115429
review,43,0.016544825,1.654482493
update,39,0.015005771,1.500577145
dual,33,0.012697191,1.269719123
mobile,29,0.011158138,1.115813775
cyan,27,0.010388611,1.0388611
smartphone,25,0.009619084,0.961908426
camera,24,0.009234321,0.923432089
video,22,0.008464794,0.846479415
app,22,0.008464794,0.846479415
handset,21,0.008080031,0.808003078
store,19,0.007310504,0.731050404
samsung,18,0.006925741,0.692574067
tablet,16,0.006156214,0.615621393
youtube,15,0.005771451,0.577145056
instagram,15,0.005771451,0.577145056
software,12,0.00461716,0.461716045
music,12,0.00461716,0.461716045
photos,12,0.00461716,0.461716045
iphone,12,0.00461716,0.461716045
platform,12,0.00461716,0.461716045
apple,11,0.004232397,0.423239708
,2599,,
